,close,EMA_12,EMA_26,MACD,Signal,MACD_Histogram,Buy_Signal,Sell_Signal
68,238.0,238.1010511351556,238.34790430460686,-0.24685316945127056,-0.33895744136001904,0.09210427190874848,False,False
69,237.25,237.9701201912855,238.26657805982117,-0.29645786853566847,-0.33045752679514895,0.03399965825948048,False,False
70,237.25,237.85933246954926,238.1912759813159,-0.3319435117666387,-0.3307547237894469,-0.0011887879771917964,False,True
71,237.25,237.76558901269553,238.12155183455175,-0.35596282185622385,-0.33579634340280234,-0.02016647845342151,False,False
72,238.0,237.8016522415116,238.11254799495532,-0.3108957534437309,-0.3308162254109881,0.019920471967257214,True,False
73,238.0,237.83216728127903,238.1042111064401,-0.27204382516106307,-0.31906174536100307,0.04701792019994,False,False
74,237.15,237.72721846877457,238.03352880225933,-0.30631033348475967,-0.3165114629857544,0.010201129500994721,False,False
75,238.0,237.76918485819385,238.03104518727716,-0.26186032908330503,-0.30558123620526456,0.04372090712195953,False,False
76,238.0,237.80469488001017,238.02874554377513,-0.22405066376495597,-0.2892751217172028,0.06522445795224685,False,False
77,238.0,237.83474182154706,238.0266162442362,-0.19187442268915333,-0.2697949819115929,0.07792055922243957,False,False
78,239.0,238.0140123105398,238.09871874466316,-0.08470643412334766,-0.23277727235394385,0.1480708382305962,False,False
79,239.0,238.16570272430292,238.16548031913254,0.00022240517037630525,-0.18617733684907983,0.18639974201945614,False,False
80,238.0,238.1402099974871,238.1532225177153,-0.013012520228215863,-0.15154437352490704,0.13853185329669118,False,False
81,239.36,238.32786999787368,238.24261344232897,0.0852565555447029,-0.10418418771098506,0.18944074325568797,False,False
82,237.6,238.2158899982008,238.19501244660088,0.02087755159990934,-0.07917183984880619,0.10004939144871552,False,False
83,237.6,238.1211376907853,238.15093745055637,-0.029799759771066192,-0.0692974238332582,0.039497664062192,False,False
84,239.0,238.25634727681833,238.21383097273738,0.042516304080947975,-0.046934678250416965,0.08945098233136495,False,False
85,239.0,238.37075538807704,238.27206571549758,0.09868967257946792,-0.01780980808443999,0.11649948066390792,False,False
86,237.17,238.18602378991133,238.1904312180533,-0.004407428141973924,-0.015129332095946777,0.010721903953972853,False,False
87,237.2,238.03432782223265,238.11706594264194,-0.08273812040928874,-0.028651089758615172,-0.054087030650673565,False,True
88,237.15,237.898277388043,238.04543142837215,-0.14715404032915558,-0.05235167987272325,-0.09480236045643232,False,False
89,238.99,238.06623471295944,238.11539947071498,-0.04916475775553408,-0.05171429544928542,0.0025495376937513387,True,False
90,238.99,238.20835244942725,238.18018469510648,0.02816775432077634,-0.03573788549527307,0.06390563981604941,False,False
91,238.0,238.17629822643843,238.16683768065414,0.009460545784293117,-0.026698199239359833,0.03615874502365295,False,False
92,237.15,238.01840619160174,238.09151637097605,-0.07311017937431075,-0.035980595266350016,-0.03712958410796073,False,True
93,238.0,238.01557446981684,238.08473738053337,-0.06916291071652836,-0.042617058356385684,-0.026545852360142674,False,False
94,238.0,238.01317839753733,238.0784605375309,-0.06528213999357035,-0.047150074683822624,-0.01813206530974773,False,False
95,235.5,237.62653556714696,237.88746346067677,-0.2609278935298107,-0.08990563845302024,-0.17102225507679047,False,False
96,235.55,237.30706855681666,237.71431801914514,-0.4072494623284797,-0.15337440322811213,-0.25387505910036756,False,False
97,235.55,237.0367503173064,237.55399816587516,-0.5172478485687577,-0.22614909229624125,-0.29109875627251647,False,False
98,235.6,236.81571180695155,237.4092575609955,-0.5935457540439586,-0.29962842464578476,-0.29391732939817383,False,False
99,239.0,237.15175614434364,237.5270903342551,-0.37533418991145595,-0.314769577698919,-0.06056461221253695,False,False
100,238.65,237.38225519906,237.61026882801397,-0.22801362895395982,-0.29741838794992714,0.06940475899596732,True,False
101,238.6,237.5696005530508,237.6835822481611,-0.113981695110283,-0.2607310493819983,0.14674935427171532,False,False
102,238.99,237.78812354488917,237.7803539334825,0.007769611406672539,-0.20703091722426417,0.2148005286309367,False,False
103,238.99,237.97302761490624,237.86995734581714,0.10307026908910188,-0.14501067996159095,0.24808094905069283,False,False
104,237.5,237.9002541356899,237.84255309797882,0.0577010377110696,-0.10446833642705884,0.16216937413812843,False,False
105,238.85,238.04636888404528,237.91717879442484,0.12919008962043677,-0.05773665121755972,0.18692674083799649,False,False
106,237.5,237.9623121326537,237.88627666150447,0.07603547114922549,-0.03098222674420268,0.10701769789342816,False,False
107,238.79,238.08964872763005,237.95321913102265,0.13642959660739962,0.002500137926117779,0.13392945868128184,False,False
108,238.79,238.19739507722545,238.01520289909504,0.182192178130407,0.03843854596697562,0.14375363216343137,False,False
109,237.52,238.09318044996,237.9785212028658,0.11465924709418118,0.053682686192416736,0.06097656090176445,False,False
110,236.31,237.81884499612,237.85492703969055,-0.03608204357055911,0.035729740239821575,-0.07181178381038068,False,True
111,237.52,237.77286884287076,237.83011762934308,-0.05724878647231435,0.017134034897394394,-0.07438282136970875,False,False
112,236.7,237.60781209781373,237.7464052123547,-0.1385931145409529,-0.014011394990275067,-0.12458171955067784,False,False
113,238.79,237.78968715968853,237.82370852995805,-0.034021370269528006,-0.018013390046125656,-0.01600798022340235,False,False
114,238.78,237.9420429812749,237.89454493514637,0.04749804612853836,-0.004911102811192851,0.05240914893973121,True,False
115,238.0,237.95095944569414,237.90235642143182,0.048603024262320105,0.0057917226035097405,0.04281130165881036,False,False
116,238.78,238.07850414635658,237.9673670568813,0.11113708947527812,0.02686079597786342,0.0842762934974147,False,False
117,238.77,238.1848881238402,238.02682134896418,0.15806677487603338,0.05310199175749741,0.10496478311853596,False,False
118,238.0,238.15644379709556,238.02483458237424,0.1316092147213226,0.06880343635026245,0.06280577837106013,False,False
119,237.1,237.99391398215778,237.95632831701317,0.03758566514460426,0.06255988210913081,-0.02497421696452655,False,True
120,238.0,237.99485029259503,237.95956325649368,0.03528703610135153,0.057105312907574965,-0.021818276806223433,False,False
121,237.1,237.85718101681118,237.8958919041608,-0.038710887349623135,0.037942072856135343,-0.07665296020575849,False,False
122,238.59,237.96992239884023,237.9473073186674,0.02261508017281244,0.034876674319470766,-0.012261594146658325,False,False
123,238.59,238.0653189528648,237.99491418395132,0.0704047689134768,0.041982293238271975,0.028422475675204825,True,False
124,238.59,238.14603911396253,238.03899461476976,0.10704449919276726,0.054994734429171035,0.052049764763596226,False,False
125,238.5,238.20049463489136,238.07314316182385,0.12735147306750605,0.06946608215683804,0.05788539091066801,False,False
126,238.59,238.26041853721577,238.1114288535406,0.1489896836751825,0.08537080246050693,0.06361888121467557,False,False
127,237.31,238.11420030072105,238.0520637532783,0.06213654744274777,0.08072395145695511,-0.018587404014207345,False,True
128,237.15,237.96586179291782,237.98524421599842,-0.01938242308060012,0.06070267654944408,-0.0800850996300442,False,False
129,237.15,237.84034459400738,237.92337427407261,-0.0830296800652377,0.03195620522650773,-0.11498588529174543,False,False
130,237.01,237.71259927185238,237.8557169204376,-0.1431176485852177,-0.0030585655358373563,-0.14005908304938033,False,False
131,237.3,237.64912246079817,237.8145527041089,-0.16543024331073752,-0.03553290109081739,-0.12989734221992014,False,False
132,237.31,237.59694977452153,237.77717842973047,-0.1802286552089356,-0.06447205191444103,-0.11575660329449458,False,False
133,237.3,237.5512651938259,237.74183187938007,-0.19056668555415968,-0.08969097864238476,-0.10087570691177491,False,False
134,238.59,237.71107054862193,237.8046591475741,-0.09358859895218075,-0.09047050270434397,-0.0031180962478367796,False,False
135,238.59,237.84629046421855,237.8628325440501,-0.016542079831538103,-0.0756848181297828,0.05914273829824469,True,False
136,238.55,237.9545534697234,237.9137338370834,0.04081963263999455,-0.05238392797582733,0.09320356061582188,False,False
137,237.36,237.8630837051506,237.87271651581796,-0.00963281066736954,-0.04383370451413578,0.03420089384676624,False,False
138,237.0,237.73030159666587,237.80807084797956,-0.07776925131369694,-0.05062081387404801,-0.027148437439648933,False,True
