buy_date,sell_date,buy_price,sell_price,profit,return_pct
6048,6057,256.95,255.65,-129.9999999999983,-0.505935006810657
6058,6065,255.85,255.0,-84.99999999999943,-0.33222591362126025
6067,6068,255.7,255.0,-69.99999999999886,-0.2737583105201364
6075,6082,255.55,254.25,-130.00000000000114,-0.5087067110154613
6084,6099,254.95,255.8,85.00000000000227,0.33339870562856355
6128,6132,254.6,254.05,-54.999999999998295,-0.21602513747053534
6134,6142,254.3,253.8,-50.0,-0.19661816751867872
6159,6171,253.25,251.2,-205.00000000000114,-0.8094768015794715
6178,6199,252.0,253.15,115.00000000000057,0.4563492063492086
6206,6209,253.95,253.35,-59.99999999999943,-0.2362669816893067
6239,6250,251.7,251.05,-64.99999999999773,-0.25824394119983207
6251,6252,251.45,250.8,-64.99999999999773,-0.2585006959634032
6255,6274,251.8,251.45,-35.000000000002274,-0.13899920571883348
6285,6290,251.65,250.9,-75.0,-0.2980329823167097
6298,6305,251.15,250.15,-100.0,-0.3981684252438782
6320,6338,250.2,250.0,-19.999999999998863,-0.0799360511590682
6351,6369,249.3,248.25,-105.00000000000114,-0.4211793020457326
6373,6375,248.9,242.95,-595.0000000000017,-2.390518280433916
6388,6403,247.1,247.55,45.000000000001705,0.18211250505868762
6416,6435,244.4,244.45,4.999999999998295,0.020458265139109224
6439,6458,245.0,246.7,169.99999999999886,0.6938775510204036
6462,6471,247.8,247.7,-10.000000000002274,-0.04035512510089699
6494,6519,248.0,252.75,475.0,1.9153225806451613
6538,6548,252.25,251.3,-94.99999999999886,-0.376610505450937
6559,6569,251.75,251.85,9.999999999999432,0.03972194637537013
6570,6584,252.0,252.55,55.00000000000114,0.21825396825397278
6586,6592,253.5,253.0,-50.0,-0.19723865877712032
6621,6637,249.95,248.1,-184.99999999999943,-0.740148029605919
6639,6678,249.05,250.15,109.99999999999943,0.44167837783577363
6691,6700,250.25,249.05,-119.99999999999886,-0.479520479520475
6725,6769,249.05,251.7,264.9999999999977,1.0640433647861782
6793,6811,251.45,251.55,10.000000000002274,0.039769337840534
6827,6828,251.95,251.65,-29.999999999998295,-0.11907124429449611
6844,6855,251.45,251.15,-29.999999999998295,-0.11930801352156808
6862,6864,251.35,251.0,-34.99999999999943,-0.13924806047344113
6865,6866,251.3,251.15,-15.000000000000568,-0.059689614007165014
6869,6876,251.4,251.1,-30.000000000001137,-0.11933174224344127
6882,6886,251.4,251.0,-40.00000000000057,-0.15910898965791792
6888,6889,251.5,251.05,-44.99999999999886,-0.17892644135188415
6913,6932,250.75,250.65,-9.999999999999432,-0.03988035892322804
6933,6949,250.95,251.0,5.000000000001137,0.019924287706719016
6956,6962,251.5,251.2,-30.000000000001137,-0.11928429423459697
6978,6984,251.15,250.6,-55.00000000000114,-0.2189926338841375
7004,7014,249.55,249.2,-35.000000000002274,-0.14025245441796141
7018,7019,249.7,249.1,-59.99999999999943,-0.240288346015216
7025,7032,249.6,248.85,-75.0,-0.3004807692307693
7052,7075,246.35,247.7,134.99999999999943,0.5480008118530523
7097,7125,246.1,242.05,-404.9999999999983,-1.645672490857368
7141,7169,238.05,237.5,-55.00000000000114,-0.2310438983406895
7177,7208,238.3,239.05,75.0,0.3147293327738145
7231,7256,238.45,239.55,110.00000000000227,0.46131264416021084
7257,7267,239.95,240.8,85.00000000000227,0.3542404667639186
7285,7292,240.75,240.25,-50.0,-0.20768431983385255
7296,7299,240.4,239.95,-45.000000000001705,-0.18718801996672924
7305,7306,240.35,239.9,-44.99999999999886,-0.18722696068233352
7308,7311,240.4,239.85,-55.00000000000114,-0.22878535773710956
7318,7332,240.7,240.6,-9.999999999999432,-0.04154549231408156
7341,7351,241.15,241.05,-9.999999999999432,-0.041467965996265524
7376,7377,241.0,240.85,-15.000000000000568,-0.0622406639004173
7389,7398,241.0,240.35,-65.00000000000057,-0.26970954356846705
7411,7434,240.45,241.25,80.00000000000114,0.33270950301518465
7451,7453,241.8,240.85,-95.0000000000017,-0.39288668320927084
7461,7464,241.5,240.8,-69.99999999999886,-0.2898550724637634
7476,7487,242.0,241.05,-94.99999999999886,-0.39256198347106974
7489,7513,241.65,252.65,1100.0,4.552038071591144
7564,7574,252.5,252.15,-34.99999999999943,-0.13861386138613638
7590,7621,251.25,251.65,40.00000000000057,0.15920398009950476
7630,7633,251.95,251.4,-54.999999999998295,-0.21829728120658187
7641,7643,252.0,251.4,-59.99999999999943,-0.2380952380952358
7651,7673,251.7,252.5,80.00000000000114,0.3178386968613474
7696,7711,253.15,253.6,44.99999999999886,0.17776022121271523
7726,7728,253.5,253.15,-34.99999999999943,-0.13806706114398198
7735,7762,253.5,256.3,280.00000000000114,1.1045364891518783
7765,7778,258.35,261.1,275.0,1.064447455002903
7821,7827,259.75,258.85,-89.99999999999773,-0.3464870067372386
7840,7845,258.9,256.0,-289.9999999999977,-1.1201235998454915
7854,7900,256.15,261.9,575.0,2.244778450126879
7930,7931,263.0,262.0,-100.0,-0.38022813688212925
7934,7935,262.75,262.4,-35.000000000002274,-0.1332064700285529
7957,7979,262.2,263.2,100.0,0.3813882532418002
7983,7984,264.0,263.05,-94.99999999999886,-0.35984848484848053
8008,8025,261.85,262.1,25.0,0.09547450830628221
8034,8041,262.75,262.05,-69.99999999999886,-0.26641294005708416
8042,8043,262.5,262.1,-39.999999999997726,-0.1523809523809437
8047,8049,262.35,262.0,-35.000000000002274,-0.13340956737184018
